config,msd,rdf,psi6,cn_at_1.5,cn_slope,rdf/msd,psi6/msd,cn_1.5/msd,cn_slope/msd
config_1,0.0006247799705882352,20.4769,0.3969813484214421,11.2083,21.74905608424158,32774.578193857335,635.3938460089895,17939.59558186108,34810.74475509302
config_2,6.51094794117647e-05,33.946,0.550851201505732,12.0351,25.676317837102555,521368.01440722717,8460.384055938222,184844.0520294709,394356.06103867997
config_3,0.0002636581323529411,24.251,0.6082153504636578,10.2919,22.509387910497548,91978.95693024498,2306.8332656224748,39035.018219058526,85373.38753642452
config_4,4.788698529411765e-05,30.3162,0.47348824892079955,13.9743,29.005124423124354,633078.0652363177,9887.618650718487,291818.32838653505,605699.5286919281
config_5,0.0007186681029411764,18.0539,0.37582693928209576,10.3633,21.0085589858194,25121.33198358704,522.9492414426211,14420.147433269687,29232.63033358664
config_6,0.0011930864558823528,15.3009,0.38413163540274436,8.5666,16.1834467066456,12824.636407999575,321.9646267115303,7180.200527600935,13564.353720432653
config_7,0.00015741197058823526,28.3611,0.48357800538099655,12.7913,27.322600504502475,180171.1769061588,3072.053564756901,81260.02077351544,173573.84195369782
config_8,0.0012527514411764704,16.4578,0.39332585705401235,8.6343,14.474223016238295,13137.322743404173,313.96959055551866,6892.269061683496,11553.94640986836
config_9,0.00016825325000000002,26.7858,0.36891680671401583,14.5648,26.951787181796448,159199.30224230434,2192.628116925027,86564.74689196196,160185.8340436006
config_10,0.0003997581617647058,20.733,0.372380868619913,11.9414,25.26449307087521,51863.856658924866,931.5153616277962,29871.560213518806,63199.44278147265
config_11,3.159372352941175e-05,38.2202,0.5335186677734558,12.3127,27.55985975708912,1209740.2816233237,16886.856254115908,389719.81218160805,872320.7231788504
config_12,0.0007241277352941178,19.1858,0.45611503199057624,9.42435,19.973619473651503,26495.049236316485,629.8820080483683,13014.7618170876,27583.005732460795
config_13,2.8437955882352952e-05,33.8852,0.4172403283235564,15.1513,34.61414787606847,1191548.37078242,14671.952163146614,532784.4259510253,1217181.2917660559
config_14,3.8606933823529404e-05,33.2456,0.43021333593062344,13.8668,31.27176820376792,861130.2869055641,11143.421487370888,359179.003009784,810003.9321099623
config_15,0.0003663579264705883,22.2145,0.4441600229928832,11.2344,16.67113335595908,60636.05669463634,1212.3663524133985,30665.093309785163,45505.043432702856
config_16,0.00029732544117647055,26.7415,0.44574635693725256,13.1057,27.885532271844873,89940.16756247982,1499.1867334779813,44078.63635262015,93787.91186353297
config_17,9.811908823529414e-05,27.452,0.46497194548289944,12.1143,27.974223389901066,279782.46122883685,4738.853100304755,123465.27284221542,285104.80369342177
config_18,4.9000742647058824e-05,30.7265,0.45697248467267637,12.2741,26.55406457460964,627061.9247817523,9325.827732125306,250488.04032231806,541911.4719520174
config_19,0.00024338570588235294,23.8189,0.4266053467273148,12.8299,25.7764954450343,97864.82699815375,1752.7954042359663,52714.27076412482,105908.0086547649
config_20,0.00017886183823529408,25.2426,0.40438108625009445,13.5331,27.766283832003793,141129.04266807978,2260.8572641310334,75662.31082897127,155238.72563289347
