epoch,train_loss,val_loss,pred_b_norm,target_b_norm,pred_eta_norm,target_eta_norm
0,10.553733170687497,8.07195212159838,105.16265106201172,1170.2818603515625,97.46800231933594,116.84294891357422
1,5.281238745857071,2.950114735535213,82.5955581665039,1170.4688720703125,74.69296264648438,116.86546325683594
2,0.08066574557796939,-1.7575061959879739,62.700218200683594,1170.366943359375,56.80305862426758,116.73968505859375
3,-5.594205826848418,-9.251296843801226,74.64778900146484,1170.4093017578125,60.05575180053711,116.87081146240234
4,-19.696149102934115,-34.58251421792166,112.35991668701172,1170.4034423828125,61.218875885009766,116.95868682861328
5,-65.01207666082696,-109.12957273210797,217.83258056640625,1170.495849609375,47.03946304321289,116.82744598388672
6,-137.99656002338116,-178.31493977137976,315.8870544433594,1170.3929443359375,37.540985107421875,116.8746109008789
7,-188.92274684696406,-219.4977046421596,378.3683776855469,1170.398193359375,33.29001998901367,116.76138305664062
8,-219.72929130805719,-243.56833866664343,414.48834228515625,1170.4482421875,31.376310348510742,116.82897186279297
9,-237.19045274336258,-257.0878595624651,436.0782775878906,1170.3936767578125,30.228607177734375,116.88854217529297
10,-248.38116991650926,-270.4820011683873,470.38427734375,1170.384521484375,29.030345916748047,116.85159301757812
11,-269.91810297704006,-298.81543622698103,513.3322143554688,1170.6204833984375,28.37410545349121,116.9047622680664
12,-294.7628163767385,-321.7776690891811,556.5040893554688,1170.382568359375,26.707965850830078,116.82266998291016
13,-314.07810747754445,-339.6579475402832,588.4227294921875,1170.3624267578125,25.854759216308594,116.87115478515625
14,-330.04593968653415,-355.54146902901783,614.204345703125,1170.4013671875,25.328702926635742,116.80755615234375
15,-342.24269137539704,-366.2163200378418,636.0510864257812,1170.6435546875,24.548900604248047,116.86870574951172
16,-352.06357037890086,-374.9737298148019,649.8741455078125,1170.6663818359375,24.352516174316406,116.91331481933594
17,-359.4759977571257,-380.9661848885672,659.6028442382812,1170.4713134765625,24.214384078979492,116.85042572021484
18,-365.3211866106306,-387.30502482822965,677.4177856445312,1170.313232421875,23.09196662902832,116.8715591430664
19,-369.7669681087955,-390.76978084019254,686.5951538085938,1170.2921142578125,22.846189498901367,116.79427337646484
20,-372.45280297247916,-391.6636815752302,701.5132446289062,1170.63232421875,23.502309799194336,116.79520416259766
21,-377.7231284340659,-402.532530103411,721.4033813476562,1170.397705078125,23.605344772338867,116.89080810546875
22,-388.40206615741437,-412.15330178397045,742.80615234375,1170.215576171875,23.372997283935547,116.75507354736328
23,-398.7911695543226,-421.98388072422574,753.8002319335938,1170.44921875,23.680992126464844,116.82843780517578
24,-406.54879500839735,-432.0030975341797,776.3547973632812,1170.4163818359375,22.998506546020508,116.74119567871094
25,-415.04072034227977,-439.12649372645785,786.8244018554688,1170.3294677734375,23.06766700744629,116.90003967285156
26,-422.94946339366203,-445.95286669049943,804.2442016601562,1170.4652099609375,22.64298439025879,116.83904266357422
27,-429.39621994521593,-452.7667748587472,812.4192504882812,1170.4737548828125,22.4304141998291,116.83271789550781
28,-436.95998927525113,-459.66951424734935,814.0025024414062,1170.6300048828125,22.288494110107422,116.7618179321289
29,-442.4409515045501,-465.50692803519115,816.4310302734375,1170.5380859375,21.85171127319336,116.8318862915039
30,-449.5119313669729,-472.77156611851285,826.1101684570312,1170.7127685546875,21.561620712280273,116.79884338378906
31,-454.42982365534857,-478.5339093889509,836.336669921875,1170.3336181640625,20.857765197753906,116.89707946777344
32,-459.7735538692265,-482.63463919503346,845.2745971679688,1170.4686279296875,20.760229110717773,116.80384063720703
33,-464.0703846019703,-486.75878252301897,845.6577758789062,1170.58740234375,20.978099822998047,116.8678207397461
34,-467.2483257251781,-490.48319353376115,851.7689208984375,1170.53955078125,20.63191795349121,116.91545867919922
35,-470.9362484439389,-494.13255310058594,860.6685180664062,1170.436279296875,20.278972625732422,116.84369659423828
36,-474.2825619205014,-496.56919642857144,869.4610595703125,1170.230224609375,20.138362884521484,116.91316223144531
37,-476.4597888988453,-500.222898210798,864.9598999023438,1170.4427490234375,20.055835723876953,116.86713409423828
38,-478.75602001148263,-501.3761226109096,866.9680786132812,1170.2982177734375,19.907169342041016,116.77316284179688
39,-480.5757541866093,-503.5189884730748,870.9105224609375,1170.419921875,19.905588150024414,116.88001251220703
40,-480.49771654736867,-496.4244046892439,864.8868408203125,1170.572021484375,20.673139572143555,116.79904174804688
41,-479.7111626928979,-503.4085813249861,876.1879272460938,1170.3486328125,20.53527069091797,116.85655212402344
42,-485.3509789770776,-508.233163016183,882.8326416015625,1170.5123291015625,20.193370819091797,116.81259155273438
43,-490.93033742380663,-513.1375579833984,906.3646850585938,1170.325439453125,20.52225685119629,116.87648010253906
44,-495.5516377543355,-518.787949698312,913.2814331054688,1170.4844970703125,20.416881561279297,116.80944061279297
45,-500.923093690977,-522.7552926199777,946.6973876953125,1170.406005859375,20.143604278564453,116.88909149169922
46,-505.3856471135066,-528.425537109375,917.26416015625,1170.47802734375,20.176937103271484,116.86408233642578
47,-509.66927832299535,-533.1366947719029,949.0925903320312,1170.2904052734375,20.314491271972656,116.86200714111328
48,-513.5640565641634,-534.6366773332868,982.0790405273438,1170.4931640625,20.864500045776367,116.81240844726562
49,-517.3696944687392,-534.897931780134,996.2034301757812,1170.5325927734375,20.363576889038086,116.95671081542969
