epoch,train_loss,val_loss,pred_b_norm,target_b_norm,pred_eta_norm,target_eta_norm
0,7.588584783621163,-4.0095217142786295,34.55552291870117,1293.2279052734375,29.028789520263672,129.064697265625
1,-87.08628563298774,-132.22929082598006,252.33926391601562,1293.05517578125,19.291664123535156,129.02249145507812
2,-129.46000695065052,-145.90511022295271,285.322509765625,1293.031494140625,14.157630920410156,129.10401916503906
3,-138.72381261085124,-152.65698460170202,301.32110595703125,1293.560302734375,12.372819900512695,129.1200714111328
4,-143.38530593317395,-156.00345965794153,311.8660888671875,1293.1834716796875,10.945486068725586,129.1167449951172
5,-144.7358966769832,-155.00078065054757,312.0026550292969,1293.328857421875,11.04454231262207,128.9707794189453
6,-145.819774222145,-157.57160840715682,321.5345153808594,1293.204345703125,9.917890548706055,129.07994079589844
7,-148.3051579583983,-159.66544587271554,329.5201721191406,1293.4935302734375,9.135469436645508,129.0944366455078
8,-150.38221255905506,-161.10605839320593,336.5982360839844,1293.365478515625,8.453092575073242,129.10903930664062
9,-151.99084158951035,-162.35161699567522,336.8635559082031,1293.3548583984375,8.119132041931152,129.19296264648438
10,-153.4204402211926,-163.92749840872628,341.64404296875,1293.2315673828125,7.717584133148193,129.10760498046875
11,-154.63222184200836,-165.5603645869664,341.0470886230469,1292.9603271484375,7.219685077667236,129.10678100585938
12,-155.56426183807832,-166.42625508989607,338.80206298828125,1293.1822509765625,7.167241096496582,129.08619689941406
13,-156.36289413933565,-166.82835933140345,336.3184509277344,1293.2508544921875,7.046902656555176,129.0907440185547
14,-156.94816186431342,-167.58358355930872,337.39300537109375,1292.8345947265625,6.891201496124268,129.0255889892578
15,-156.25124917730218,-163.89054925101144,336.8587646484375,1293.1942138671875,7.875858783721924,129.04261779785156
16,-154.88334906150286,-164.30678858075822,346.1998291015625,1293.2747802734375,7.753763675689697,129.15859985351562
17,-155.56881966087226,-164.96026148114885,344.05560302734375,1293.075927734375,7.652414321899414,129.0933074951172
18,-156.05648099640268,-165.54626737322127,344.71685791015625,1293.1143798828125,7.413021087646484,129.12872314453125
19,-156.5349882175566,-166.35767963954382,344.240234375,1292.9202880859375,7.298920154571533,129.1066131591797
20,-156.98586638441466,-166.44609369550432,347.5722961425781,1292.8382568359375,7.461533546447754,129.0819549560547
21,-157.6746912931382,-167.2305635724749,341.6356506347656,1292.7412109375,7.2780656814575195,129.0618133544922
22,-158.51451719150623,-168.1555630820138,344.1203308105469,1293.095947265625,7.089082717895508,129.0595245361328
23,-159.2600190171816,-169.1561461857387,347.77349853515625,1292.6956787109375,7.155968189239502,129.12002563476562
24,-160.63653216473196,-171.21448680332728,349.0076599121094,1293.253662109375,6.8874192237854,129.135498046875
25,-162.3834511295104,-172.86982945033483,347.313720703125,1292.7239990234375,7.014671802520752,129.06484985351562
26,-163.49946355100195,-174.1003464290074,342.4771423339844,1293.3104248046875,6.857163906097412,129.19122314453125
27,-164.38377625526877,-174.9899400983538,348.7902526855469,1293.18994140625,6.749173641204834,129.0980682373047
28,-164.9775002954428,-175.6781624385289,346.85284423828125,1293.20849609375,6.649829387664795,129.1656951904297
29,-165.52971199674045,-176.27093233380998,346.3519287109375,1292.7823486328125,6.644390106201172,129.09812927246094
30,-165.9751680083726,-176.3545036315918,347.0789794921875,1292.767822265625,6.538456916809082,129.16339111328125
31,-166.75934428671587,-177.678375516619,348.89990234375,1293.110107421875,6.434587001800537,129.06764221191406
32,-167.47396913902585,-178.20484869820731,349.9093017578125,1292.826416015625,6.610971927642822,129.1062469482422
33,-168.03818784852413,-178.99650491986955,346.5980224609375,1293.0018310546875,6.717277526855469,129.14149475097656
34,-168.79398957136073,-179.74208450317383,346.60113525390625,1293.5902099609375,6.70380973815918,129.10382080078125
35,-168.77004935025187,-177.876430783953,353.5819396972656,1293.2076416015625,7.903273582458496,129.19384765625
36,-169.9984913264773,-183.43785885402136,357.8050842285156,1293.4749755859375,8.55704116821289,129.10031127929688
37,-177.9193708762547,-195.47707148960657,364.37750244140625,1293.0108642578125,9.409820556640625,129.08143615722656
38,-193.15343301351834,-218.0246982574463,380.0025634765625,1292.885009765625,9.770977973937988,129.1454315185547
39,-215.49210182367855,-240.73978969029017,388.1700134277344,1293.3201904296875,9.378178596496582,129.0907745361328
40,-233.6995119741097,-259.7490109034947,404.5862731933594,1293.4097900390625,9.207527160644531,129.1932373046875
41,-252.29434149680642,-280.9630355834961,416.45294189453125,1292.810302734375,8.764591217041016,129.05496215820312
42,-271.0734693582166,-299.9075949532645,433.03143310546875,1293.2076416015625,8.39333438873291,129.138671875
43,-288.0014536089694,-317.61885670253207,444.3697814941406,1292.9267578125,8.053571701049805,129.03753662109375
44,-303.32246421426737,-334.5362892150879,455.2568664550781,1293.5853271484375,7.849369525909424,129.0986328125
45,-317.61824634797944,-348.38419342041016,468.5370788574219,1293.088623046875,7.652106761932373,128.997314453125
46,-330.07215781401544,-361.56470162527904,475.805908203125,1293.063232421875,7.50509786605835,129.08880615234375
47,-341.55603453815394,-372.7806183951242,489.6017150878906,1292.7454833984375,7.503458499908447,129.14974975585938
48,-350.9070698093158,-382.78976930890764,488.37481689453125,1293.21044921875,7.421443939208984,129.11073303222656
49,-359.1097440314064,-389.8773394993373,497.0123596191406,1293.3570556640625,7.3656487464904785,129.021484375
