epoch,train_loss,val_loss,pred_b_norm,target_b_norm,pred_eta_norm,target_eta_norm
0,-62.47165980784284,-142.1547862461635,271.2869567871094,1293.5518798828125,15.5884370803833,129.25741577148438
1,-140.4023566991704,-155.0896211351667,311.8907165527344,1293.0281982421875,9.532012939453125,129.06166076660156
2,-149.6344301573043,-162.4335378919329,329.731201171875,1292.9244384765625,7.926758766174316,129.13180541992188
3,-153.51847330336707,-165.22566604614258,335.0521240234375,1293.32470703125,7.504699230194092,129.08984375
4,-155.60538318323992,-166.92043113708496,337.22454833984375,1293.1112060546875,7.051593780517578,129.14349365234375
5,-154.46491284134947,-164.1760583605085,343.9972229003906,1293.48681640625,7.994719982147217,129.17897033691406
6,-155.52392852649768,-165.61981964111328,349.9855041503906,1292.8798828125,7.623854160308838,129.06822204589844
7,-157.21115580115298,-168.2002833230155,346.4461975097656,1293.4229736328125,7.564866542816162,129.1435546875
8,-159.34626102741854,-170.22734206063407,346.8902893066406,1293.071044921875,7.221498966217041,129.08694458007812
9,-164.12641619556726,-178.13661302839006,351.102783203125,1293.2099609375,7.289261341094971,129.0819854736328
10,-173.72523502557857,-189.8568594796317,360.19049072265625,1293.1605224609375,7.703561782836914,129.0858612060547
11,-183.4519727465547,-204.07527351379395,368.6177062988281,1293.1148681640625,9.00979232788086,129.1010284423828
12,-203.61993755430842,-231.37583460126604,378.1264953613281,1292.916748046875,8.883851051330566,129.14186096191406
13,-227.02965777401081,-254.40918459211076,392.63348388671875,1292.88720703125,8.197760581970215,129.11502075195312
14,-245.83737174179328,-274.0174756731306,407.24566650390625,1293.1748046875,7.7807745933532715,128.9363250732422
15,-269.03086582623393,-314.10640553065707,435.4444274902344,1293.246826171875,8.309219360351562,129.14996337890625
16,-315.3445084144059,-364.60102408272877,471.7320556640625,1293.4334716796875,7.973880767822266,129.11048889160156
17,-365.322128835529,-423.70381818498885,515.1912231445312,1293.0557861328125,7.955421447753906,129.08274841308594
18,-418.740487059448,-476.94517626081193,543.5196533203125,1292.7401123046875,7.752873420715332,129.0355224609375
19,-462.62516664183187,-520.4424427577427,567.19140625,1293.18310546875,7.715128421783447,129.07740783691406
20,-501.4150771152826,-557.6382795061384,586.1912841796875,1292.8480224609375,7.524259090423584,129.15200805664062
21,-531.6394377618169,-585.840580531529,606.3338623046875,1293.067138671875,7.573446750640869,129.11280822753906
22,-555.6835687621631,-609.4707946777344,621.8133544921875,1293.153076171875,7.310693264007568,129.0830535888672
23,-578.1887167196705,-635.6524244035993,637.5208740234375,1293.1759033203125,7.332600116729736,129.12789916992188
24,-604.2215558707469,-662.6950345720563,647.5806274414062,1293.0836181640625,7.116652965545654,129.15048217773438
25,-624.2175865330323,-683.560078212193,659.16015625,1292.959716796875,7.138811111450195,129.15594482421875
26,-650.7642898834291,-718.8107070922852,667.3229370117188,1293.295166015625,7.141470432281494,129.1756134033203
27,-677.9825572143367,-741.124148777553,686.2796020507812,1293.5408935546875,7.043695449829102,129.1413116455078
28,-696.398212283727,-758.1103308541434,694.2633056640625,1293.3289794921875,6.992171287536621,129.14952087402344
29,-711.1601169570483,-774.2668086460659,702.8486938476562,1293.052978515625,6.947204113006592,128.99172973632812
30,-722.124237543271,-781.7060862949917,710.2586669921875,1293.37109375,6.846593856811523,129.0397186279297
31,-730.4504113727146,-791.2487891060965,711.6256713867188,1293.3714599609375,6.815393447875977,129.2066650390625
32,-738.4820515667951,-800.710081917899,719.5093994140625,1293.355712890625,6.735104084014893,129.1908721923828
33,-746.0351482320715,-807.9614345005581,720.1019897460938,1293.13134765625,6.8467559814453125,129.00537109375
34,-753.7056847403569,-815.907341003418,722.6259765625,1292.935546875,6.893233299255371,129.05181884765625
35,-755.8179818808787,-821.9976828438895,726.61181640625,1292.947998046875,8.224788665771484,129.07846069335938
36,-777.0324589058205,-844.3339026314871,738.2756958007812,1293.2509765625,8.185575485229492,129.098876953125
37,-794.3233163386216,-862.4852839878628,745.875244140625,1293.35791015625,8.31168270111084,129.0671844482422
38,-809.0641698013118,-878.6292310442243,758.3800048828125,1292.9610595703125,8.463568687438965,129.0297088623047
39,-823.6953205218531,-891.6321062360491,765.5117797851562,1292.9217529296875,8.417905807495117,129.16587829589844
40,-836.598080756733,-902.5179170880999,767.1715087890625,1292.7169189453125,8.546778678894043,129.1063995361328
41,-845.6254691685178,-913.8056607927595,775.675537109375,1293.1053466796875,8.533548355102539,129.10452270507812
42,-855.3227786703856,-923.2931649344308,774.4783325195312,1293.4622802734375,8.690034866333008,129.12881469726562
43,-867.6928094463584,-939.0404096330915,778.19873046875,1293.2132568359375,8.902617454528809,129.06317138671875
44,-878.8642624121144,-947.3947492327009,781.9818725585938,1292.914794921875,9.038323402404785,129.16017150878906
45,-887.6550271619004,-958.9618693760464,788.9627685546875,1293.4603271484375,9.087323188781738,129.1133575439453
46,-896.7566893306779,-965.6621388026646,791.33740234375,1292.9874267578125,8.974900245666504,129.1040496826172
47,-903.8704511932875,-970.8861661638532,793.5970458984375,1292.9359130859375,9.159409523010254,129.1206817626953
48,-909.421022729128,-978.2450746808734,803.342041015625,1293.0029296875,9.380217552185059,129.1063232421875
49,-916.2710751820003,-985.7595738002232,800.3800048828125,1293.624267578125,9.230504989624023,129.11598205566406
