epoch,train_loss,val_loss,pred_b_norm,target_b_norm,pred_eta_norm,target_eta_norm
0,-227.85192086864953,-439.7938799176897,781.5880737304688,1293.632568359375,21.6202335357666,129.1448516845703
1,-465.4677015037694,-543.0055901663644,1003.9262084960938,1293.3123779296875,18.9609317779541,129.0128631591797
2,-532.9697910552162,-591.4458247593471,1125.98876953125,1293.0477294921875,19.112611770629883,129.07992553710938
3,-565.5374632902107,-615.219013759068,1186.6326904296875,1293.306884765625,19.90728759765625,129.07757568359375
4,-581.694003697776,-627.088381086077,1214.00244140625,1292.985595703125,19.87889289855957,129.06752014160156
5,-585.8635086679654,-629.8684441702707,1246.5029296875,1293.0076904296875,21.321287155151367,129.2727813720703
6,-599.6952933872678,-643.2425853184292,1268.1961669921875,1293.1815185546875,21.169084548950195,129.10552978515625
7,-610.7335744512425,-654.109150477818,1300.0421142578125,1293.3355712890625,21.08811378479004,129.07229614257812
8,-625.2831548565209,-675.5272532871792,1330.71142578125,1292.931640625,22.10002899169922,128.9812469482422
9,-646.4278259002623,-698.0326036725726,1354.08349609375,1292.9957275390625,21.951068878173828,129.09873962402344
10,-667.2600158408836,-719.9591609409878,1407.9437255859375,1293.0533447265625,22.57316780090332,129.09207153320312
11,-689.1648249802766,-743.184686933245,1415.2408447265625,1293.1051025390625,21.821489334106445,129.10813903808594
12,-704.4502623797445,-756.6003995622907,1423.8114013671875,1292.919189453125,21.635726928710938,129.0807342529297
13,-715.2352068669511,-769.2223478044782,1420.8463134765625,1292.7191162109375,20.698179244995117,128.9884490966797
14,-726.213241741981,-780.2596195765904,1422.11279296875,1293.181884765625,21.87216567993164,129.05145263671875
15,-732.9802505508862,-791.4095415387835,1422.14599609375,1292.939697265625,22.562105178833008,129.1387481689453
16,-757.0917955288671,-818.7513863699777,1436.0372314453125,1293.16015625,22.50093650817871,129.12210083007812
17,-787.1326896172983,-858.8295179094587,1484.487060546875,1293.1533203125,23.1719970703125,129.19210815429688
18,-828.5249588420852,-904.9596078055246,1539.73828125,1292.87646484375,23.585832595825195,129.0745086669922
19,-871.027718736311,-950.0795767647879,1568.4835205078125,1293.1280517578125,23.011699676513672,129.24447631835938
20,-907.9110238895495,-984.5796290806362,1590.330322265625,1293.1304931640625,23.424877166748047,129.1536102294922
21,-942.9671844199852,-1028.8491799490791,1646.595703125,1293.095458984375,23.707096099853516,129.11532592773438
22,-979.2680772852015,-1070.3884451729912,1667.85205078125,1293.1962890625,23.525005340576172,129.23123168945312
23,-1022.6872758512144,-1118.9385811941963,1688.999267578125,1293.2547607421875,23.680709838867188,129.12844848632812
24,-1059.0007131129134,-1153.2303096226283,1725.8525390625,1292.831787109375,24.243093490600586,128.94857788085938
25,-1084.3588708869713,-1175.1267939976283,1743.3912353515625,1292.8907470703125,23.58790397644043,129.03945922851562
26,-1108.1504097141847,-1201.6497519356865,1752.05078125,1293.305908203125,24.32912254333496,129.10597229003906
27,-1135.4273492632578,-1231.629392351423,1771.7625732421875,1293.629150390625,24.179420471191406,129.101318359375
28,-1166.2029613447778,-1271.6027570452009,1782.9755859375,1293.2794189453125,25.004104614257812,129.12998962402344
29,-1201.1544562053289,-1310.0747789655413,1798.1190185546875,1293.1492919921875,24.94886016845703,129.13661193847656
30,-1233.5062129095259,-1340.024150303432,1813.0531005859375,1293.0426025390625,24.55594825744629,129.02008056640625
31,-1261.4775941008893,-1369.2594451904297,1840.335205078125,1293.2886962890625,25.54915428161621,129.0945281982422
32,-1285.2949522041981,-1395.0091792515345,1860.95166015625,1293.4268798828125,25.574451446533203,129.13259887695312
33,-1307.7592629483697,-1416.6874520438057,1875.7275390625,1293.478515625,25.133037567138672,129.16110229492188
34,-1329.0205861864756,-1439.9590454101562,1895.9791259765625,1292.787841796875,25.351367950439453,129.01864624023438
35,-1346.7691195609639,-1478.2458081926618,1959.6380615234375,1293.042236328125,28.077709197998047,129.11346435546875
36,-1420.0337517035841,-1580.0223214285713,1967.8992919921875,1293.022705078125,28.302677154541016,129.01695251464844
37,-1520.7055718692732,-1687.5599452427455,2032.0352783203125,1293.2105712890625,28.926156997680664,129.1866455078125
38,-1611.6123053939255,-1776.5768258231026,2090.387451171875,1292.8450927734375,29.85389518737793,129.03598022460938
39,-1681.773086108298,-1845.895717075893,2143.593505859375,1293.2191162109375,30.52473258972168,129.1114044189453
40,-1753.7505804462198,-1928.3631308419365,2190.96923828125,1292.802978515625,31.151824951171875,128.9849090576172
41,-1820.4350157686713,-1997.191870553153,2229.202880859375,1292.9832763671875,32.07889175415039,129.11557006835938
42,-1883.6432573765885,-2063.0884312220983,2271.44677734375,1293.1568603515625,32.72226333618164,129.1157989501953
43,-1942.1677509197973,-2119.36277117048,2284.893798828125,1293.2286376953125,32.50349426269531,129.16259765625
44,-1993.9953894438568,-2173.87752859933,2354.197998046875,1292.8277587890625,33.8433952331543,129.05474853515625
45,-2041.9676798282828,-2222.580309186663,2377.99462890625,1293.209228515625,34.87036895751953,129.22247314453125
46,-2089.148963159004,-2269.194113595145,2376.981689453125,1293.1326904296875,34.1208610534668,129.03399658203125
47,-2133.448510974523,-2321.150120326451,2423.37353515625,1292.646728515625,35.111053466796875,129.08509826660156
48,-2176.541923601441,-2362.588174002511,2445.628173828125,1293.1925048828125,35.58478546142578,129.10980224609375
49,-2219.427699367696,-2410.9477015904017,2467.90185546875,1293.3201904296875,35.338462829589844,129.0941925048828
