config,status,msd,rdf,psi6,rdf/msd,psi/msd,cn_at_1.5,cn_slope,cn_1.5/msd,cn_slope/msd
config_54,unstable,0.004738071647863248,7.3697,0.37283209599139044,1555.4218145526672,78.6885728415543,5.24585,8.061778891243438,1107.1698340327434,1701.4894434699186
config_1,unstable,0.001994371562393163,11.6219,0.36078934621293846,5827.349436357889,180.90377591425656,7.6503,12.852164657458585,3835.945189079992,6444.217767544039
config_37,unstable,0.0015115838871794876,11.0912,0.3608732439702715,7337.469057503268,238.7384828794625,7.47525,12.6643344562742,4945.309395926617,8378.188312065819
config_9,unstable,0.0012477829709401712,14.6832,0.36670252102411544,11767.430989170016,293.8832549925047,9.7418,15.045732884158356,7807.287186055932,12057.972607866093
config_61,unstable,0.001200057671794872,12.9211,0.3612710969219273,10767.065869988144,301.0447792743081,8.47205,15.44206508436143,7059.702378577138,12867.769147515579
config_31,unstable,0.0011607701128205131,14.8802,0.37694318403728383,12819.248045457634,324.7354319981269,8.734,17.510090332312057,7524.315024598256,15084.890745304361
config_27,unstable,0.0009659436273504276,14.6509,0.36418008399527396,15167.44827044126,377.0200182325503,8.6342,16.542857529011563,8938.616866994103,17126.11073835482
config_30,unstable,0.0009302961025641027,16.4185,0.3756457056739373,17648.681914013152,403.7915504951319,9.01045,15.838495448288484,9685.572126084586,17025.219609793134
config_6,unstable,0.0008601877777777783,14.9371,0.3659404182964785,17364.92936296854,425.41922560426787,9.71615,15.497401143304751,11295.382532754471,18016.300095940638
config_2,unstable,0.0008529002871794874,15.1974,0.37852755831221063,17818.49558317924,443.8122064233189,9.21755,18.617183368201975,10807.30085164132,21828.08899006046
config_42,unstable,0.0008219827145299147,16.4075,0.39404749932330624,19960.88203555876,479.386600664296,9.99215,18.864822652196395,12156.155869669876,22950.38851636319
config_59,unstable,0.0006742471897435899,16.1198,0.4089352854447557,23907.848998421803,606.5064736870021,8.8729,16.15561366011807,13159.713729580813,23960.965512161652
config_55,unstable,0.000664843052991453,19.7545,0.3747567022885119,29713.02762526415,563.6769469159657,12.5997,25.31884102321976,18951.39002100993,38082.43300324483
config_7,unstable,0.0006559426803418805,16.3386,0.4042229137748111,24908.578889064276,616.2473122866897,9.98765,16.531143308880022,15226.406665281163,25202.11567916866
config_24,unstable,0.0006420847863247865,16.6782,0.4218082955347969,25975.074250651447,656.9355083916178,9.3555,18.207991394574705,14570.505639215839,28357.612238089278
config_44,stable,0.0005922766256410258,35.3096,0.39235639133168176,59616.73730038584,662.4546273576663,16.0021,27.251367013735706,27017.949564835173,46011.21474993434
config_57,stable,0.0005760288683760684,17.9255,0.37556494643261895,31119.100073118363,651.9897995588411,10.1871,18.34810447671509,17685.051148077546,31852.751631080188
config_5,stable,0.0005692879726495727,18.5771,0.3952044301466849,32632.166658183036,694.2082902389973,9.9151,17.555563853004234,17416.668674472905,30837.756454430888
config_10,stable,0.0005343930495726498,21.8229,0.3989258506344862,40836.796095030826,746.5026930150088,12.5954,22.493179124190085,23569.543073347322,42091.07723646054
config_48,stable,0.0004837746324786326,19.082,0.4271242197066188,39443.98635007555,882.8991663292392,10.2462,20.162168211119372,21179.696726765753,41676.778519406755
config_63,stable,0.0004536679350427352,19.5811,0.41000893451842213,43161.745601781346,903.76441191463,10.1316,18.674862191455293,22332.634108349783,41164.16600987269
config_58,stable,0.00044840430085470086,20.9086,0.378624349213225,46628.901551894654,844.381618310822,11.1933,23.172790470559384,24962.51703800458,51678.341234439235
config_28,stable,0.00035479703247863253,21.7491,0.4609674333945638,61300.118121224215,1299.242640712688,12.2821,25.989061073618895,34617.256841740025,73250.50294828515
config_53,stable,0.00027752308034188034,23.8745,0.42158458638061214,86027.079155323,1519.0973877245185,10.762,18.955186802957787,38778.75665959857,68301.29868696656
config_13,stable,0.0002601637435897436,22.2365,0.4164692051911655,85471.1717058665,1600.7964808805277,10.2806,18.990236683224285,39515.88279807214,72993.40185222079
config_36,stable,0.00023140022564102573,28.9399,0.36346891052092367,125064.2687137862,1570.7370617899821,15.1514,32.27550444264323,65477.03209029956,139479.1398894859
config_21,stable,0.00023038421880341886,21.6784,0.42663753352466066,94096.72291181385,1851.8522481294601,11.3953,15.672663701017617,49462.1552603971,68028.37356837672
config_47,stable,0.000171670147008547,26.0779,0.5440477869235653,151907.01734939186,3169.1461585133875,11.5484,25.056188728656597,67270.8691711264,145955.42186731577
config_17,unstable,0.00014642421880341886,23.4611,0.5480157215013345,160226.90912558386,3742.657642155977,12.0986,23.13318451994126,82627.04147490053,157987.41976556904
config_32,unstable,0.0001328201162393163,28.3212,0.4857112723806458,213229.74863966124,3656.91046005025,12.425,24.70180808551456,93547.57661567275,185979.4192696433
